Date,Sum of Revenue,Count of Invoice,AOV
01-12-2010,58635.56,3108,18.87
02-12-2010,46207.28,2109,21.91
03-12-2010,45620.46,2202,20.72
05-12-2010,31383.95,2725,11.52
06-12-2010,53860.18,3878,13.89
07-12-2010,45059.05,2963,15.21
08-12-2010,44189.84,2647,16.69
09-12-2010,52532.13,2891,18.17
10-12-2010,57404.91,2758,20.81
12-12-2010,17240.92,1451,11.88
13-12-2010,35379.34,2283,15.5
14-12-2010,42843.29,2087,20.53
15-12-2010,29443.69,1349,21.83
16-12-2010,48334.35,1790,27
17-12-2010,43534.19,3115,13.98
19-12-2010,7517.31,522,14.4
20-12-2010,24741.75,1763,14.03
21-12-2010,47097.94,1586,29.7
22-12-2010,6134.57,291,21.08
23-12-2010,11796.31,963,12.25
04-01-2011,14950.48,1184,12.63
05-01-2011,-1566.23,1743,-0.9
06-01-2011,37392.74,1832,20.41
07-01-2011,27233.14,1794,15.18
09-01-2011,15710.8,1117,14.07
10-01-2011,24191.64,1976,12.24
11-01-2011,67817.13,1454,46.64
12-01-2011,23958.78,1809,13.24
13-01-2011,20533.54,1445,14.21
14-01-2011,47377.26,1510,31.38
16-01-2011,7116.61,646,11.02
17-01-2011,29256,2557,11.44
18-01-2011,18680.8,1447,12.91
19-01-2011,25585.81,1416,18.07
20-01-2011,17995.91,1502,11.98
21-01-2011,31978.44,1594,20.06
23-01-2011,10285.95,879,11.7
24-01-2011,25555.62,1485,17.21
25-01-2011,27971.52,1654,16.91
26-01-2011,19493.32,1289,15.12
27-01-2011,21092.14,1575,13.39
28-01-2011,18567.77,1008,18.42
30-01-2011,6456.44,722,8.94
31-01-2011,22364.65,1509,14.82
01-02-2011,28433.22,1574,18.06
02-02-2011,21048.45,1411,14.92
03-02-2011,23344.58,989,23.6
04-02-2011,24994.17,1232,20.29
06-02-2011,3457.11,279,12.39
07-02-2011,25525.99,1261,20.24
08-02-2011,20728.14,1228,16.88
09-02-2011,16692.58,879,18.99
10-02-2011,13427.54,785,17.11
11-02-2011,20387.28,957,21.3
13-02-2011,5535.4,624,8.87
14-02-2011,26222.03,1108,23.67
15-02-2011,36842.58,1335,27.6
16-02-2011,24730.81,1191,20.76
17-02-2011,26361.87,1719,15.34
18-02-2011,15928.4,854,18.65
20-02-2011,9578.89,864,11.09
21-02-2011,23807.83,1425,16.71
22-02-2011,32292.62,1593,20.27
23-02-2011,26792.76,1578,16.98
24-02-2011,22655.83,1294,17.51
25-02-2011,18029.84,978,18.44
27-02-2011,9491.05,812,11.69
28-02-2011,21753.68,1737,12.52
01-03-2011,25471.71,1361,18.72
02-03-2011,18296.45,935,19.57
03-03-2011,35842.62,1389,25.8
04-03-2011,19474.87,1107,17.59
06-03-2011,9596.23,844,11.37
07-03-2011,30525.58,1971,15.49
08-03-2011,25017.47,1600,15.64
09-03-2011,21907.12,1277,17.16
10-03-2011,25597.89,1131,22.63
11-03-2011,21995.28,959,22.94
13-03-2011,4137.62,537,7.71
14-03-2011,25864.59,1111,23.28
15-03-2011,20660.03,1292,15.99
16-03-2011,21182.64,874,24.24
17-03-2011,38804.25,2074,18.71
18-03-2011,16770.46,1379,12.16
20-03-2011,21980.64,1453,15.13
21-03-2011,16370.27,1068,15.33
22-03-2011,31312.35,2384,13.13
23-03-2011,24029.07,1319,18.22
24-03-2011,36562.1,1577,23.18
25-03-2011,30656.03,1386,22.12
27-03-2011,8979.98,737,12.18
28-03-2011,19207.03,1672,11.49
29-03-2011,70531.47,1983,35.57
30-03-2011,31489.25,1590,19.8
31-03-2011,31004.08,1738,17.84
01-04-2011,24391.78,1261,19.34
03-04-2011,6878.1,731,9.41
04-04-2011,25073.02,1705,14.71
05-04-2011,28353.83,1215,23.34
06-04-2011,17279.35,1122,15.4
07-04-2011,18229,1527,11.94
08-04-2011,23299.14,1441,16.17
10-04-2011,9363.88,940,9.96
11-04-2011,22110.31,1259,17.56
12-04-2011,25124.25,1152,21.81
13-04-2011,23898.2,1052,22.72
14-04-2011,35295.58,1608,21.95
15-04-2011,28327.131,1483,19.1
17-04-2011,12704.3,968,13.12
18-04-2011,32185.61,3208,10.03
19-04-2011,23837.65,1887,12.63
20-04-2011,28239.39,1025,27.55
21-04-2011,31198.6,1930,16.17
26-04-2011,30585.54,1903,16.07
27-04-2011,25590.56,1307,19.58
28-04-2011,21241.9,1192,17.82
01-05-2011,6964.66,452,15.41
03-05-2011,19617.86,1449,13.54
04-05-2011,27462.3,1161,23.65
05-05-2011,28750.65,1838,15.64
06-05-2011,35714.58,2051,17.41
08-05-2011,18808.92,1506,12.49
09-05-2011,26060.43,1766,14.76
10-05-2011,45564.12,2586,17.62
11-05-2011,33240.36,1701,19.54
12-05-2011,59911.97,1965,30.49
13-05-2011,30744.07,1425,21.57
15-05-2011,9924.28,809,12.27
16-05-2011,25279.77,1609,15.71
17-05-2011,53603.83,1932,27.75
18-05-2011,34337.29,1366,25.14
19-05-2011,34348.75,1949,17.62
20-05-2011,26256.52,1129,23.26
22-05-2011,24205.37,1564,15.48
23-05-2011,30739.55,1646,18.68
24-05-2011,37028.91,1750,21.16
25-05-2011,24152.28,1322,18.27
26-05-2011,33208.59,971,34.2
27-05-2011,28232.19,1170,24.13
29-05-2011,7208.3,632,11.41
31-05-2011,21967.96,1281,17.15
01-06-2011,20191.2,1456,13.87
02-06-2011,32502.01,1588,20.47
03-06-2011,16751,858,19.52
05-06-2011,25520.35,1561,16.35
06-06-2011,16791.39,1229,13.66
07-06-2011,37644.3,1926,19.55
08-06-2011,42940.91,2327,18.45
09-06-2011,45515.75,1850,24.6
10-06-2011,22540.66,1067,21.13
12-06-2011,12483.86,1075,11.61
13-06-2011,20372.93,1472,13.84
14-06-2011,40211.93,1587,25.34
15-06-2011,46139.18,1718,26.86
16-06-2011,34131.73,1534,22.25
17-06-2011,20800.72,961,21.64
19-06-2011,22360.01,1167,19.16
20-06-2011,33493.4,2020,16.58
21-06-2011,22730.01,1538,14.78
22-06-2011,21794.94,1017,21.43
23-06-2011,24273.31,1973,12.3
24-06-2011,8619.88,1039,8.3
26-06-2011,6175.17,708,8.72
27-06-2011,16823.86,1182,14.23
28-06-2011,34704.64,1043,33.27
29-06-2011,21775.43,1358,16.03
30-06-2011,43834.55,1620,27.06
01-07-2011,13171.82,1027,12.83
03-07-2011,5977.14,602,9.93
04-07-2011,44154.75,2200,20.07
05-07-2011,40334.97,2202,18.32
06-07-2011,26279.58,1816,14.47
07-07-2011,31357.72,1940,16.16
08-07-2011,26840.08,1630,16.47
10-07-2011,5692.07,820,6.94
11-07-2011,22429.53,1515,14.8
12-07-2011,25892.04,1667,15.53
13-07-2011,11612.05,1618,7.18
14-07-2011,32575.96,1734,18.79
15-07-2011,14478.93,1136,12.75
17-07-2011,17174.66,1248,13.76
18-07-2011,28443.27,2234,12.73
19-07-2011,49316.78,1667,29.58
20-07-2011,27305.41,2015,13.55
21-07-2011,30957.07,1570,19.72
22-07-2011,20015.23,1301,15.38
24-07-2011,26476.2,1125,23.53
25-07-2011,26687.65,1946,13.71
26-07-2011,21271.301,1279,16.63
27-07-2011,25568.45,1259,20.31
28-07-2011,55706.88,1565,35.6
29-07-2011,18094.21,1131,16
31-07-2011,33486.36,1271,26.35
01-08-2011,21362.84,1200,17.8
02-08-2011,14947.27,1369,10.92
03-08-2011,27075.02,1560,17.36
04-08-2011,61028.65,1839,33.19
05-08-2011,21298.3,1455,14.64
07-08-2011,7464.12,541,13.8
08-08-2011,19987.15,1490,13.41
09-08-2011,26623.2,1119,23.79
10-08-2011,27474.22,1376,19.97
11-08-2011,72132.79,1984,36.36
12-08-2011,10049.48,1122,8.96
14-08-2011,5150.18,557,9.25
15-08-2011,17205.54,926,18.58
16-08-2011,19103.71,1035,18.46
17-08-2011,49392.22,1666,29.65
18-08-2011,53225.67,1539,34.58
19-08-2011,17248.54,819,21.06
21-08-2011,14549.21,1070,13.6
22-08-2011,27978.41,1272,22
23-08-2011,25756.3,1458,17.67
24-08-2011,37074.9,1876,19.76
25-08-2011,22458.88,1342,16.74
26-08-2011,25550.23,929,27.5
28-08-2011,10784.78,1200,8.99
30-08-2011,31640.9,3235,9.78
31-08-2011,16118,1305,12.35
01-09-2011,37296.6,1405,26.55
02-09-2011,41745.07,2376,17.57
04-09-2011,17018.49,1343,12.67
05-09-2011,36844.04,1587,23.22
06-09-2011,28052.62,1140,24.61
07-09-2011,34125.65,2112,16.16
08-09-2011,26708,1779,15.01
09-09-2011,29317.69,1607,18.24
11-09-2011,35465.47,2032,17.45
12-09-2011,29039.31,1702,17.06
13-09-2011,54828.45,2438,22.49
14-09-2011,23360.66,1376,16.98
15-09-2011,62943.81,2197,28.65
16-09-2011,25858.06,1475,17.53
18-09-2011,15692.33,1274,12.32
19-09-2011,46212.21,1436,32.18
20-09-2011,109286.21,1718,63.61
21-09-2011,42944.07,3129,13.72
22-09-2011,57076.83,2748,20.77
23-09-2011,39426.48,2642,14.92
25-09-2011,31210.921,1987,15.71
26-09-2011,28642.271,1554,18.43
27-09-2011,35752.16,1897,18.85
28-09-2011,43383.04,2877,15.08
29-09-2011,43464.33,2508,17.33
30-09-2011,43992.85,1887,23.31
02-10-2011,11623.58,1429,8.13
03-10-2011,64214.78,2296,27.97
04-10-2011,48240.84,2797,17.25
05-10-2011,75244.43,2447,30.75
06-10-2011,55306.28,3189,17.34
07-10-2011,47538.02,2426,19.6
09-10-2011,11922.24,1292,9.23
10-10-2011,44265.89,3232,13.7
11-10-2011,38267.75,2467,15.51
12-10-2011,29302.85,2193,13.36
13-10-2011,37067.17,2358,15.72
14-10-2011,35225.54,1810,19.46
16-10-2011,21605.44,1254,17.23
17-10-2011,47064.14,2944,15.99
18-10-2011,44637.84,2908,15.35
19-10-2011,36003.43,2318,15.53
20-10-2011,60793.14,2350,25.87
21-10-2011,62961.26,1404,44.84
23-10-2011,12302.41,1728,7.12
24-10-2011,38407.72,2976,12.91
25-10-2011,40807.49,2492,16.38
26-10-2011,37842.08,1930,19.61
27-10-2011,47480.15,2540,18.69
28-10-2011,39559.47,1641,24.11
30-10-2011,34545.28,2907,11.88
31-10-2011,48475.45,3414,14.2
01-11-2011,28741.55,1786,16.09
02-11-2011,45239.06,2632,17.19
03-11-2011,62816.55,2419,25.97
04-11-2011,60081.76,3011,19.95
06-11-2011,42912.4,3437,12.49
07-11-2011,70001.08,2099,33.35
08-11-2011,56647.66,4070,13.92
09-11-2011,62599.43,2716,23.05
10-11-2011,68956.24,3275,21.06
11-11-2011,54835.51,4089,13.41
13-11-2011,33520.22,3018,11.11
14-11-2011,112141.11,3597,31.18
15-11-2011,60594.23,3445,17.59
16-11-2011,64408.7,4195,15.35
17-11-2011,60329.72,3621,16.66
18-11-2011,48031.8,2920,16.45
20-11-2011,34902.01,3334,10.47
21-11-2011,48302.5,2930,16.49
22-11-2011,62307.32,3967,15.71
23-11-2011,78480.7,3619,21.69
24-11-2011,48080.28,3766,12.77
25-11-2011,50442.72,3125,16.14
27-11-2011,20571.5,2543,8.09
28-11-2011,55442.02,3330,16.65
29-11-2011,72219.2,4313,16.74
30-11-2011,59150.98,3454,17.13
01-12-2011,51410.95,2901,17.72
02-12-2011,57086.06,2880,19.82
04-12-2011,24565.78,2038,12.05
05-12-2011,57751.32,5331,10.83
06-12-2011,54228.37,3365,16.12
07-12-2011,75076.22,2438,30.79
08-12-2011,81417.78,4940,16.48
09-12-2011,32149.53,1633,19.69
Grand Total,9747765.934,541910,17.99
